Row Labels,Count of TA_ID
กรุงเทพมหานคร,154
จ. กระบี่,112
จ. กาญจนบุรี,95
จ. กาฬสินธุ์,134
จ. กำแพงเพชร,78
จ. ขอนแก่น,201
จ. จันทบุรี,84
จ. ฉะเชิงเทรา,93
จ. ชลบุรี,115
จ. ชัยนาท,53
จ. ชัยภูมิ,124
จ. ชุมพร,116
จ. เชียงราย,124
จ. เชียงใหม่,199
จ. ตรัง,115
จ. ตราด,54
จ. ตาก,60
จ. นครนายก,42
จ. นครปฐม,106
จ. นครพนม,95
จ. นครราชสีมา,285
จ. นครศรีธรรมราช,170
จ. นครสวรรค์,130
จ. นนทบุรี,52
จ. นราธิวาส,77
จ. น่าน,99
จ. บึงกาฬ,53
จ. บุรีรัมย์,189
จ. ปทุมธานี,60
จ. ประจวบคีรีขันธ์,48
จ. ปราจีนบุรี,64
จ. ปัตตานี,115
จ. พระนครศรีอยุธยา,207
จ. พะเยา,69
จ. พังงา,70
จ. พัทลุง,67
จ. พิจิตร,89
จ. พิษณุโลก,94
จ. เพชรบุรี,92
จ. เพชรบูรณ์,116
จ. แพร่,78
จ. ภูเก็ต,39
จ. มหาสารคาม,134
จ. มุกดาหาร,53
จ. แม่ฮ่องสอน,44
จ. ยโสธร,79
จ. ยะลา,58
จ. ร้อยเอ็ด,192
จ. ระนอง,61
จ. ระยอง,67
จ. ราชบุรี,104
จ. ลพบุรี,121
จ. ลำปาง,97
จ. ลำพูน,51
จ. เลย,90
จ. ศรีสะเกษ,204
จ. สกลนคร,125
จ. สงขลา,139
จ. สตูล,89
จ. สมุทรปราการ,50
จ. สมุทรสงคราม,36
จ. สมุทรสาคร,40
จ. สระแก้ว,59
จ. สระบุรี,109
จ. สิงห์บุรี,43
จ. สุโขทัย,86
จ. สุพรรณบุรี,109
จ. สุราษฎร์ธานี,191
จ. สุรินทร์,159
จ. หนองคาย,62
จ. หนองบัวลำภู,59
จ. อ่างทอง,73
จ. อำนาจเจริญ,56
จ. อุดรธานี,155
จ. อุตรดิตถ์,67
จ. อุทัยธานี,69
จ. อุบลราชธานี,220
Grand Total,7768
