AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,520101,ต. เวียงเหนือ สวนดอก สบตุ๋ย อยู่นอก1 ตำบล คือหัวเ*,,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.290,99.492
4,520105,ต. พระบาท,Phrabat,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.255,99.518
4,520106,ต. ชมพู,Chomphu,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.254,99.479
4,520107,ต. กล้วยแพะ,Kluai Phae,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.211,99.502
4,520108,ต. ปงแสนทอง,Pong Saen Thong,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.268,99.432
4,520109,ต. บ้านแลง,Ban Laeng,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.526,99.691
4,520110,ต. บ้านเสด็จ,Ban Sadet,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.392,99.645
4,520111,ต. พิชัย,Phichai,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.316,99.571
4,520112,ต. ทุ่งฝาย,Thung Fai,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.374,99.550
4,520113,ต. บ้านเอื้อม,Ban Ueam,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.478,99.357
4,520114,ต. บ้านเป้า,Ban Pao,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.357,99.455
4,520115,ต. บ้านค่า,Ban Kha,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.520,99.414
4,520116,ต. บ่อแฮ้ว,Bo Haeo,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.310,99.433
4,520117,ต. ต้นธงชัย,Ton Thong Chai,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.390,99.485
4,520118,ต. นิคมพัฒนา,Nikhom Phatthana,5201,อ. เมืองลำปาง,Mueang Lampang,52,จ. ลำปาง,Lampang,18.445,99.545
